wave flux err
11198.0 7.056522841353541e-17 8.530501439918973e-19
11244.0 6.72579209523945e-17 8.328852792022953e-19
11290.0 6.679572732356665e-17 8.226466929598567e-19
11336.0 6.380678214162881e-17 8.110911232713259e-19
11382.0 6.381689696314976e-17 7.996244350298615e-19
11428.0 6.019450369221614e-17 7.833560627889967e-19
11474.0 5.898239098573036e-17 7.772099844544013e-19
11520.0 5.874165687723237e-17 7.734595849763823e-19
11566.0 5.791423192904441e-17 7.882769796174287e-19
11612.0 5.487350548243061e-17 7.888017560713656e-19
11658.0 5.3330346699860536e-17 7.497270487239036e-19
11704.0 5.344381941234915e-17 7.363055079774854e-19
11750.0 5.1549265248058474e-17 7.190223013288268e-19
11796.0 4.980909149677003e-17 7.354412664087667e-19
11842.0 4.9511678127217287e-17 6.988552203912507e-19
11888.0 4.915041550128674e-17 6.891674587726667e-19
11934.0 4.750159496932962e-17 6.790909061610912e-19
11980.0 4.6247284915058713e-17 7.030903072345656e-19
12026.0 4.8318383231362125e-17 6.709662397481768e-19
12072.0 4.667074578391035e-17 6.624032899743051e-19
12118.0 4.658968445412157e-17 6.598788003354795e-19
12164.0 4.7280283970423064e-17 6.572704962113388e-19
12210.0 4.44425332899031e-17 6.4713154428903315e-19
12256.0 4.5010955318214426e-17 6.417888407007181e-19
12302.0 4.562806434799674e-17 6.481599336030099e-19
12348.0 4.287135177643151e-17 6.332474353205326e-19
12394.0 4.285455711784857e-17 7.239943443549054e-19
12440.0 4.241263933652135e-17 7.199920061109649e-19
12486.0 4.236556969163816e-17 6.2178691445820675e-19
12532.0 4.1020685060138255e-17 6.194896010015109e-19
12578.0 3.8948663252769937e-17 6.153847123748092e-19
12624.0 3.845585226709182e-17 6.129060992976006e-19
12670.0 3.648074958152171e-17 6.1175408686988e-19
12716.0 3.5770725790115205e-17 6.075308506448997e-19
12762.0 3.528513344549373e-17 5.997280663858301e-19
12808.0 3.5755613444453546e-17 5.972218451815492e-19
