wave flux err
14326.0 9.375070572080162e-18 6.785786439143011e-19
14372.0 7.685181605196317e-18 6.649011837261093e-19
14418.0 8.266543331708837e-18 6.604179981949603e-19
14464.0 1.0150499995457548e-17 6.699529059189544e-19
14510.0 8.494016630697345e-18 6.763756507135166e-19
14556.0 8.616466125903188e-18 6.763917377702986e-19
14602.0 9.772413930762814e-18 6.677711965357363e-19
14648.0 8.366457432866497e-18 6.718351243309874e-19
14694.0 9.193328505124606e-18 6.749156243471357e-19
14740.0 8.06283835884128e-18 6.834445107622251e-19
14786.0 1.0622419801045415e-17 6.80514366531949e-19
14832.0 7.719239963516968e-18 6.740782583838913e-19
14878.0 8.404982283325117e-18 6.656704082321246e-19
14924.0 7.411940242986748e-18 6.765079021831072e-19
14970.0 7.882596349521509e-18 6.802449813861759e-19
15016.0 7.585980455810681e-18 6.620635825150808e-19
15062.0 7.002919918601453e-18 6.700753696319375e-19
15108.0 8.140499845100776e-18 6.661270753627208e-19
15154.0 7.48763167043248e-18 6.822095906980412e-19
15200.0 8.514109597189427e-18 9.414608336851586e-19
15246.0 7.914469295054495e-18 6.730324362276119e-19
15292.0 7.018015097549736e-18 6.646635851150599e-19
15338.0 7.914250375682646e-18 6.81400142450846e-19
15384.0 7.376943803512291e-18 6.653169141610809e-19
15430.0 8.130437404832439e-18 6.824744503526398e-19
15476.0 8.865323570466882e-18 6.712570339854354e-19
15522.0 7.757032604134692e-18 6.8233021561046355e-19
15568.0 9.859366577173138e-18 6.720690782233574e-19
15614.0 8.723951999874977e-18 6.798367653784661e-19
15660.0 1.0102517366746471e-17 6.763795407808985e-19
15706.0 9.144746168337145e-18 6.807677937042299e-19
15752.0 8.433847620800355e-18 6.690653289086748e-19
15798.0 9.721076770729326e-18 6.667859069259956e-19
15844.0 9.909248569415376e-18 6.668061997545368e-19
15890.0 9.753793518428261e-18 6.685170911878779e-19
15936.0 8.78999119804455e-18 6.697131315080147e-19
15982.0 1.1395834347755135e-17 6.720878387427188e-19
16028.0 1.0839569523300744e-17 6.746235247015573e-19
16074.0 1.191554802099597e-17 6.761765224513977e-19
16120.0 9.882734347291868e-18 6.746372263806008e-19
16166.0 9.512951565725723e-18 6.763275283768839e-19
16212.0 1.1096104544698048e-17 6.846094578789048e-19
16258.0 1.1409110626500108e-17 6.870629913800475e-19
