wave flux err
7700.0 0.0 0.0
7723.0 1.8942338525628541e-16 1.1560119314099376e-16
7746.0 9.726178866582677e-17 5.0635129139723964e-17
7769.0 7.467912702787987e-17 3.3272674083941284e-17
7792.0 5.611322694911164e-17 2.2241158046686496e-17
7815.0 4.020848949570891e-17 1.7054331800569215e-17
7838.0 5.753761124702631e-17 1.2720601485884614e-17
7861.0 3.081417763220557e-17 1.0467368113230813e-17
7884.0 4.620051346096601e-17 8.753087451598087e-18
7907.0 4.059212271942594e-17 7.703955538911514e-18
7930.0 2.523703450463987e-17 1.0214505615587646e-17
7953.0 2.4035427899367e-17 6.585472383446577e-18
7976.0 3.6839055725544164e-17 6.011396915163655e-18
7999.0 2.058524934040617e-17 5.665328459271806e-18
8022.0 2.538636993999088e-17 5.3426385024559644e-18
8045.0 2.488586286545084e-17 5.008523871793385e-18
8068.0 2.958624565174646e-17 4.904733665128831e-18
8091.0 2.3052370513631306e-17 4.7276141539838286e-18
8114.0 1.6179270567180816e-17 6.408511563891994e-18
8137.0 2.2962347647045054e-17 4.415550090629926e-18
8160.0 2.0415984758414946e-17 4.346413437276555e-18
8183.0 1.5703308476789085e-17 4.137635997106828e-18
8206.0 1.9065200861921057e-17 4.0241470487871815e-18
8229.0 2.4917665374009008e-17 3.809897814121153e-18
8252.0 1.9426691769893322e-17 3.618052946819306e-18
8275.0 2.1661886684163496e-17 3.4612109240798806e-18
8298.0 1.493762577391164e-17 4.741728070970221e-18
8321.0 1.6667673113704684e-17 3.2514447166841976e-18
8344.0 1.7772571890066888e-17 3.1572670425971196e-18
8367.0 1.701796891648113e-17 3.0721768727777423e-18
8390.0 2.0083187284459024e-17 3.0115611966540492e-18
8413.0 1.8465800130942226e-17 2.937517096988984e-18
8436.0 1.8290653981784982e-17 2.854957426212822e-18
8459.0 1.688180499428523e-17 2.7680194119933296e-18
8482.0 1.3147617708433746e-17 3.0942066309980324e-18
8505.0 1.2987125878927371e-17 3.0887845881423894e-18
8528.0 1.9770748549874514e-17 2.625496974121557e-18
8551.0 1.5145720316065763e-17 2.5808109985668637e-18
8574.0 1.1568891687984771e-17 2.5572997298464766e-18
8597.0 1.6257623084284893e-17 2.5552043626827355e-18
8620.0 1.1388051176226207e-17 2.5407641136781354e-18
8643.0 1.388058518799993e-17 2.535078434608292e-18
8666.0 1.0947551935079486e-17 2.4882520087030456e-18
8689.0 1.5362164486356813e-17 3.477789177391664e-18
8712.0 1.0859332848432304e-17 2.375915241393959e-18
8735.0 8.465532430352858e-18 2.318786108783413e-18
8758.0 1.0856359475756108e-17 2.2588640158122726e-18
8781.0 1.112520190611725e-17 2.203591696055105e-18
8804.0 1.0697562888508777e-17 2.1730880384814466e-18
8827.0 9.650837164967779e-18 2.1671933434795933e-18
8850.0 8.521901699209924e-18 2.1139320877856e-18
8873.0 9.075723330984434e-18 2.9061093590065113e-18
8896.0 6.308141877976192e-18 2.048761373360054e-18
8919.0 8.011293147420849e-18 2.0189679640454075e-18
8942.0 1.0696780549771662e-17 2.012225224639128e-18
8965.0 5.740867094279228e-18 1.969266354469002e-18
8988.0 9.391730148952052e-18 1.9479425526034738e-18
9011.0 8.38157281145565e-18 1.9239445434420694e-18
9034.0 1.1196133252586331e-17 1.933467040297143e-18
9057.0 1.0652388810644765e-17 1.9400607415187127e-18
9080.0 5.027330717605917e-18 2.710172665998378e-18
9103.0 1.20317732049447e-17 1.9090808232308055e-18
9126.0 4.046393125271109e-18 1.853303438246969e-18
9149.0 9.122393116792452e-18 1.831496587896459e-18
9172.0 7.300352155058668e-18 1.827884022994632e-18
9195.0 8.189035248162457e-18 1.7950598834670035e-18
9218.0 5.504043091183329e-18 1.775171869709464e-18
9241.0 7.723348262394109e-18 1.9882757364461027e-18
9264.0 9.326711619761966e-18 2.044175517310072e-18
9287.0 6.403691840703444e-18 1.7186165349483383e-18
9310.0 8.170404839346515e-18 1.7162894674980307e-18
9333.0 9.152482175623784e-18 1.709088370805008e-18
9356.0 8.450884876952738e-18 1.7086334369763098e-18
9379.0 7.94235540009157e-18 1.672816045565457e-18
9402.0 7.733339034785026e-18 1.6568612961472502e-18
9425.0 9.403094577473731e-18 1.677219650282927e-18
9448.0 7.847751447743141e-18 2.3064821866055247e-18
9471.0 9.7614011746714e-18 1.6393592849869907e-18
9494.0 5.827081940792712e-18 1.6013382796067164e-18
9517.0 9.291730723733018e-18 1.5791325337442098e-18
9540.0 5.301903074808083e-18 1.5869992017313564e-18
9563.0 8.712912727579373e-18 1.6129158463443802e-18
9586.0 9.280312812930031e-18 1.5595146546561401e-18
9609.0 9.59923101361906e-18 1.5529440953539667e-18
9632.0 7.599236005473596e-18 2.185162354741439e-18
9655.0 8.406217533463075e-18 1.5579208562102789e-18
9678.0 6.534648551343034e-18 1.5387081526181401e-18
9701.0 9.44199345304085e-18 1.5541725860636392e-18
9724.0 9.321858182146304e-18 1.5190856332008932e-18
9747.0 8.506112405010324e-18 1.5373835120478982e-18
9770.0 7.072024719914554e-18 1.4910569646598944e-18
9793.0 5.879565825337163e-18 1.5188851542824457e-18
9816.0 8.549228354529938e-18 1.4835664792675187e-18
9839.0 6.632149322131506e-18 2.150700310623471e-18
9862.0 5.559687871819755e-18 1.471706351462178e-18
9885.0 6.91864915726523e-18 1.475705820885973e-18
9908.0 7.927364588045078e-18 1.4841791865485475e-18
9931.0 6.3155816068928185e-18 1.4814256717546714e-18
9954.0 7.356513707883679e-18 1.4577542277958724e-18
9977.0 8.947642125619125e-18 1.4487836271686099e-18
10000.0 7.350075952083957e-18 1.4327727257241823e-18
10023.0 6.968285224536063e-18 1.999750475905578e-18
10046.0 6.4288642533201005e-18 1.4184692337121915e-18
10069.0 6.069640349242761e-18 1.4122615005060858e-18
10092.0 9.31010743673503e-18 1.4196545792205093e-18
10115.0 5.9450896672744796e-18 1.4162534206801578e-18
10138.0 6.204890733450506e-18 1.4129975616563193e-18
10161.0 9.337784133460204e-18 1.4069727514286203e-18
10184.0 5.6558993033871625e-18 1.3975835901231211e-18
10207.0 7.42556461992987e-18 1.6164611110883578e-18
10230.0 8.13069694813471e-18 1.602156903005258e-18
10253.0 8.068498086008116e-18 1.3821024658895461e-18
10276.0 9.0607460306451e-18 1.3654210512410225e-18
10299.0 6.960741847822627e-18 1.3528746163296568e-18
10322.0 7.528661105564073e-18 1.3370692672375242e-18
10345.0 5.290364750071947e-18 1.33209615852429e-18
10368.0 7.98764242770385e-18 1.3388695232198098e-18
10391.0 9.013430840673102e-18 1.5433877602470199e-18
10414.0 7.871101289578126e-18 1.5393029651606087e-18
10437.0 7.874451048876467e-18 1.3396460398113536e-18
10460.0 8.303874525411071e-18 1.3244516594660841e-18
10483.0 5.461091268972387e-18 1.3279578822562249e-18
10506.0 8.056230579858745e-18 1.3331155213121312e-18
10529.0 8.39845315321007e-18 1.3517382836740347e-18
10552.0 5.177452546346216e-18 1.3524940786750687e-18
10575.0 5.7442515255344e-18 1.3411484148549046e-18
10598.0 6.969130275275273e-18 1.9479680118753274e-18
10621.0 6.800470356297396e-18 1.3341492327079786e-18
10644.0 9.529359347818817e-18 1.3225383418810437e-18
10667.0 7.890460921663407e-18 1.3217387312001354e-18
10690.0 8.119202946715633e-18 1.326085070279256e-18
10713.0 6.38598562310005e-18 1.3015921857024169e-18
10736.0 7.131166868294806e-18 1.2989812288223207e-18
10759.0 7.318320613673872e-18 1.3113580207015942e-18
10782.0 5.142457453748581e-18 1.827160051983685e-18
10805.0 7.683478002683085e-18 1.3063766064950662e-18
10828.0 8.383005002371464e-18 1.2990366851133132e-18
10851.0 8.821259466437857e-18 1.3131293221368905e-18
10874.0 7.555577625565088e-18 1.2892894928170683e-18
10897.0 7.729979597458164e-18 1.2919455368721088e-18
10920.0 6.81009587765015e-18 1.2790894031838926e-18
10943.0 6.816462556558119e-18 1.278477672660886e-18
10966.0 5.761781423782228e-18 1.2778886575032419e-18
10989.0 6.444425121348598e-18 1.8223642293551324e-18
11012.0 7.101861937532169e-18 1.2822633241945428e-18
11035.0 8.801407053513636e-18 1.2904061686190565e-18
11058.0 9.762382559093838e-18 1.2877882310352474e-18
11081.0 7.469584135109957e-18 1.2769458921444911e-18
11104.0 9.524936643435601e-18 1.281746673297248e-18
11127.0 9.136904947237669e-18 1.2858201263536616e-18
11150.0 9.754246344950159e-18 1.4815491304354942e-18
11173.0 7.360162874851889e-18 1.4872455640439155e-18
11196.0 9.253514063604038e-18 1.2936423696660062e-18
11219.0 1.0722107237831134e-17 1.292072620307954e-18
11242.0 6.816305776321687e-18 1.292938664013928e-18
11265.0 7.446596916550058e-18 1.2853435470141534e-18
11288.0 9.079968334921846e-18 1.294937886200801e-18
11311.0 8.929184908233079e-18 1.2824350272963255e-18
11334.0 8.941342179055895e-18 1.2991149142217541e-18
11357.0 7.593548638381492e-18 1.5190712417435004e-18
11380.0 7.993981945034995e-18 1.5805109034975257e-18
