wave flux err
7700.0 0.0 0.0
7723.0 0.0 0.0
7746.0 1.3031568313866554e-16 6.284693456437259e-17
7769.0 3.156959548793733e-17 4.3322607029368215e-17
7792.0 7.184605983276027e-18 3.0541064407841856e-17
7815.0 1.992192121895268e-18 2.6456956477386363e-17
7838.0 5.3288817609208557e-17 2.2434702784065838e-17
7861.0 3.241440409361572e-17 1.423940754074625e-17
7884.0 4.7342672032367565e-17 1.1145946436567274e-17
7907.0 3.327777509055039e-17 9.161715935538095e-18
7930.0 2.456176096721113e-17 8.15745448263245e-18
7953.0 3.132970924343772e-17 7.223547686746986e-18
7976.0 2.9954916454670394e-17 6.533873776669213e-18
7999.0 2.842689672937858e-17 6.074027054057069e-18
8022.0 1.2178555635322739e-17 8.460175284520135e-18
8045.0 3.2154502566263643e-17 5.552824719820477e-18
8068.0 1.601946367230627e-17 5.3824915399619154e-18
8091.0 2.4137461564693305e-17 5.20877117865885e-18
8114.0 2.5778574084142505e-17 4.9594177971833656e-18
8137.0 1.9888858348938297e-17 4.795863751258522e-18
8160.0 1.6958314700224398e-17 4.759208562030608e-18
8183.0 2.686444412266735e-17 4.5099023486457445e-18
8206.0 2.1190747214652192e-17 6.1540944373609365e-18
8229.0 2.2569946276260785e-17 4.210553617501188e-18
8252.0 1.820272693639961e-17 3.992504296733874e-18
8275.0 2.4678029406669528e-17 3.8166549837389254e-18
8298.0 1.615647807745235e-17 3.6244713169644956e-18
8321.0 1.4669196064832775e-17 3.484914618529871e-18
8344.0 2.1341000381527287e-17 3.400279036797982e-18
8367.0 2.4506586368368182e-17 3.337165265626909e-18
8390.0 2.1903921064682413e-17 3.258956127875233e-18
8413.0 2.583739896261247e-17 4.51468475414159e-18
8436.0 2.932269789210967e-17 3.1289605325726785e-18
8459.0 2.2438237245948006e-17 3.0301507211892995e-18
8482.0 2.4300051448678328e-17 2.9477589901592936e-18
8505.0 2.2001280959540885e-17 2.885134873099622e-18
8528.0 1.8383346846447947e-17 2.8308724092481407e-18
8551.0 2.3224093257849613e-17 2.8074831548714706e-18
8574.0 2.0469647285365016e-17 2.7857161149322703e-18
8597.0 1.7302564095370305e-17 3.940339917329315e-18
8620.0 1.857837872512327e-17 2.7775582118359827e-18
8643.0 1.411686911170086e-17 2.7606825681560033e-18
8666.0 2.0704949144100464e-17 2.729628448794886e-18
8689.0 2.2799002366855705e-17 2.6668303957254417e-18
8712.0 1.9174819630126612e-17 2.584962785921339e-18
8735.0 1.7248506579450545e-17 2.4953322190307366e-18
8758.0 1.9826077526373787e-17 2.449170886559044e-18
8781.0 1.9199158723334517e-17 3.405974765559487e-18
