wave flux err
7700.0 0.0 0.0
7723.0 0.0 0.0
7746.0 0.0 0.0
7769.0 1.537744637589358e-16 4.337883950941199e-17
7792.0 1.0440657020697944e-16 2.2568148162376368e-17
7815.0 8.414682528901296e-17 1.9127277731212548e-17
7838.0 7.35358826672491e-17 1.554001153079131e-17
7861.0 6.597439133079478e-17 1.0549725187105127e-17
7884.0 8.366877265523202e-17 8.947480527772647e-18
7907.0 7.039583788878665e-17 7.489322143760317e-18
7930.0 7.435318674545148e-17 6.731830607108321e-18
7953.0 6.412330415649025e-17 6.040923652168556e-18
7976.0 6.530918467478961e-17 5.5627850241131804e-18
7999.0 6.497299611168297e-17 5.190311100460923e-18
8022.0 5.877960060059452e-17 8.133875219570992e-18
8045.0 6.122373326386686e-17 4.7549186738803096e-18
8068.0 6.157313069780644e-17 4.7271225271183384e-18
8091.0 7.156236216159924e-17 4.496532861950211e-18
8114.0 5.5194237101206744e-17 4.28674285770003e-18
8137.0 6.487541434194627e-17 4.138989068222913e-18
8160.0 5.38627174933478e-17 4.152155325482856e-18
8183.0 5.784223776040968e-17 3.839941367871684e-18
8206.0 5.672438125767888e-17 5.254027329210965e-18
8229.0 6.391578750908312e-17 3.543629964638794e-18
8252.0 4.7520561631346847e-17 3.415861580992043e-18
8275.0 5.501662643394016e-17 3.2396766850916334e-18
8298.0 5.064271533535518e-17 2.968762427411665e-18
8321.0 5.680108351266965e-17 2.871023127867151e-18
8344.0 4.969876144518477e-17 2.7797535392036156e-18
8367.0 4.800202557789615e-17 2.7122226730301352e-18
8390.0 5.202956273872466e-17 3.049075473157288e-18
8413.0 5.017704412735054e-17 2.956935937060918e-18
8436.0 5.264054041676585e-17 2.526219496844067e-18
8459.0 4.7684923416735955e-17 2.4315629386007477e-18
8482.0 4.7251517308304034e-17 2.3614953810606356e-18
8505.0 4.801131368787066e-17 2.3215580963566665e-18
8528.0 4.415620126458907e-17 2.2530957025467245e-18
8551.0 4.6443641187398205e-17 2.2467877947092496e-18
8574.0 4.520982425570685e-17 2.570894489936672e-18
8597.0 4.492376948336705e-17 2.6034180181804806e-18
8620.0 4.5180325298358915e-17 2.2295094862702125e-18
8643.0 4.923902902077623e-17 2.241941221459352e-18
8666.0 4.6299684485741406e-17 2.2040189296061377e-18
8689.0 4.900482541563399e-17 2.1554649421062577e-18
8712.0 4.774814583985002e-17 2.0834451916807827e-18
8735.0 4.743885079766225e-17 2.016959306839179e-18
8758.0 4.336713429466938e-17 1.9627687321363795e-18
8781.0 4.4857701606220814e-17 2.7404044032503967e-18
8804.0 4.350341951761093e-17 1.9216191312199413e-18
