wave flux err
11198.0 9.563734694751129e-18 8.899897359515552e-19
11244.0 9.361623306218616e-18 8.672042330000806e-19
11290.0 9.826354313430088e-18 8.593775144000804e-19
11336.0 9.977861391971997e-18 8.458034784196822e-19
11382.0 9.562015017082909e-18 8.372884665924026e-19
11428.0 8.609626898879669e-18 8.236778356751211e-19
11474.0 7.070779170947493e-18 8.142465569736554e-19
11520.0 7.259925942503938e-18 8.094885404741897e-19
11566.0 7.693563925769034e-18 8.18507707303789e-19
11612.0 9.166981369916066e-18 8.19354780734056e-19
11658.0 5.736633939461247e-18 9.110579182749364e-19
11704.0 7.476137719125004e-18 8.899712181199792e-19
11750.0 7.536651484943345e-18 7.753588718955618e-19
11796.0 7.33108930996828e-18 7.580849482588895e-19
11842.0 6.614400296535868e-18 7.531393430812756e-19
11888.0 7.431045832556608e-18 7.377721335185631e-19
11934.0 6.467359098509143e-18 7.378723859790523e-19
11980.0 5.039464790545828e-18 7.214377531074974e-19
12026.0 6.008074460269458e-18 7.168978351044797e-19
12072.0 7.423937854249646e-18 7.099363655118507e-19
12118.0 5.322653778449233e-18 7.09871341340228e-19
12164.0 5.205849840619179e-18 6.88449496843101e-19
12210.0 5.093604667732977e-18 6.950621995312179e-19
12256.0 5.116977799377263e-18 6.799258374825607e-19
12302.0 5.206405430597198e-18 6.829797714224292e-19
12348.0 5.8981822862776004e-18 6.744437198848172e-19
12394.0 6.306213865557404e-18 6.733815391076817e-19
12440.0 5.564843232390456e-18 6.633388904670603e-19
12486.0 5.685352337501886e-18 6.618292540633921e-19
12532.0 5.439339484885983e-18 6.617100922759766e-19
12578.0 4.060468167961301e-18 6.573454310680471e-19
12624.0 6.122756533676347e-18 6.599011319100101e-19
12670.0 4.901200652774888e-18 6.562482179875104e-19
12716.0 3.820374395361901e-18 6.552623457569471e-19
12762.0 6.0236123837873165e-18 6.4753514999570125e-19
12808.0 4.352691558299966e-18 6.445850164314917e-19
12854.0 4.257528673781788e-18 6.450326034941132e-19
12900.0 5.462514217730177e-18 6.407150638815374e-19
12946.0 4.730251685452448e-18 6.3561567052533395e-19
12992.0 4.305417903181565e-18 6.315997554528797e-19
13038.0 4.163400526879624e-18 6.26793607612391e-19
13084.0 4.4890509191376676e-18 6.235925217502431e-19
13130.0 4.744806136680267e-18 8.819589721117224e-19
13176.0 3.96656382598757e-18 6.176717116156572e-19
13222.0 3.8598550167104515e-18 6.133107392435077e-19
13268.0 3.948829586669692e-18 6.099878431614086e-19
13314.0 5.535296641329958e-18 6.099345691648062e-19
13360.0 4.174779858681986e-18 6.074058330666916e-19
13406.0 3.387148948118405e-18 6.105967838107571e-19
13452.0 4.411055019028752e-18 6.079814729274896e-19
13498.0 6.009926499250561e-18 6.01549791768866e-19
13544.0 4.727549117957613e-18 5.990645611483719e-19
13590.0 5.022730873015413e-18 6.045584741027981e-19
13636.0 3.0982017452379415e-18 6.044178267961355e-19
13682.0 5.224443320066036e-18 6.019095529005971e-19
13728.0 6.140786502915992e-18 6.049132694866165e-19
13774.0 3.6131400305883614e-18 6.088298103993008e-19
13820.0 4.5971701677179364e-18 6.1240010072295e-19
13866.0 6.176296022797899e-18 6.106438684698682e-19
13912.0 5.9852638384115625e-18 6.094524318037008e-19
13958.0 5.1764480666096315e-18 6.0958447024287385e-19
14004.0 3.979149318269184e-18 6.089306279200269e-19
14050.0 5.688958063048266e-18 6.086491910868454e-19
14096.0 5.456763628679316e-18 6.020500320194501e-19
14142.0 5.978741394832819e-18 5.994377212593481e-19
14188.0 4.7716483613400585e-18 5.97610271574086e-19
14234.0 4.195435633520493e-18 6.0452912257175765e-19
14280.0 4.857895258785333e-18 6.002254276934238e-19
14326.0 6.158939980838556e-18 6.021968316842104e-19
14372.0 5.453435674034354e-18 5.949051414438678e-19
14418.0 5.3269918202355004e-18 5.892230801903188e-19
14464.0 5.508112218292779e-18 6.888808677977677e-19
14510.0 5.59310717347121e-18 6.932591714311317e-19
14556.0 4.562550670911132e-18 5.992007525958848e-19
14602.0 3.801590233114795e-18 6.021639096736985e-19
14648.0 5.441098604465035e-18 5.971429934558322e-19
14694.0 4.607193645753486e-18 5.956049267889277e-19
14740.0 4.641733241917149e-18 6.169090088615162e-19
14786.0 3.751244961707097e-18 5.979928823626536e-19
14832.0 6.099610884839952e-18 6.077982510853356e-19
14878.0 4.382686521010728e-18 5.928263476455082e-19
14924.0 4.879961646954815e-18 6.107815545890932e-19
14970.0 4.3852869775088224e-18 5.853966764062917e-19
15016.0 4.424806611697934e-18 6.065781156855076e-19
