#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3267.92240049	0.0	0.0	2.37367032933e-17
3268.12043472	0.0	0.0	2.30829512134e-17
3268.31846894	0.0	0.0	2.2247441498e-17
3268.51650317	0.0	0.0	2.30094304947e-17
3268.71453739	0.0	0.0	2.3001032388e-17
3268.91257162	0.0	0.0	2.21837120175e-17
3269.11060584	0.0	0.0	2.21809613059e-17
3269.30864007	0.0	0.0	2.15315780645e-17
3269.50667429	0.0	0.0	2.10914951778e-17
3269.70470851	0.0	0.0	2.14546501473e-17
3269.90274273	0.0	0.0	2.20645541323e-17
3270.10077696	0.0	0.0	2.21503499822e-17
3270.29881118	0.0	0.0	2.15363836166e-17
3270.49684541	0.0	0.0	2.25640575943e-17
3270.69487963	0.0	0.0	2.39311291406e-17
3270.89291386	0.0	0.0	2.34045451709e-17
3271.09094808	0.0	0.0	2.72590169908e-17
3271.28898231	0.0	0.0	2.31954792713e-17
3271.48701653	0.0	0.0	2.27219090507e-17
3271.68505076	0.0	0.0	2.22915078027e-17
3271.88308497	0.0	0.0	2.15639800913e-17
3272.0811192	0.0	0.0	2.11754062515e-17
3272.2801436	3.19635457989e-18	3.19635457989e-18	2.14085183789e-17
3272.47817783	3.89196282202e-18	3.89196282202e-18	2.1636946965e-17
3272.67621204	4.3996363611e-18	4.3996363611e-18	2.26208083988e-17
3272.87424627	4.3995214142e-18	4.3995214142e-18	2.21939223379e-17
3273.07228049	3.89165778039e-18	3.89165778039e-18	2.22027481975e-17
3273.27031472	4.39929173453e-18	4.39929173453e-18	2.23160852986e-17
3273.46834895	4.93733868528e-18	4.93733868528e-18	2.1634781964e-17
3273.66638317	4.39906234015e-18	4.39906234015e-18	2.2451792799e-17
3273.8644174	4.39894774985e-18	4.39894774985e-18	2.2665918624e-17
3274.06245162	3.89115063968e-18	3.89115063968e-18	2.22625132335e-17
3274.26048585	3.19552082449e-18	3.19552082449e-18	2.34978342723e-17
3274.45852007	8.81583424919e-19	8.81583424919e-19	2.21533534147e-17
3274.6565543	3.19535469447e-18	3.19535469447e-18	2.25507225667e-17
3274.85458852	1.40508547417e-18	1.40508547417e-18	2.25510857037e-17
3275.05262274	1.40504900402e-18	1.40504900402e-18	2.32430096794e-17
3275.25065697	1.40501255654e-18	1.40501255654e-18	2.21577958602e-17
3275.44869119	3.19502305391e-18	3.19502305391e-18	2.13809368562e-17
3275.64672542	3.19494027267e-18	3.19494027267e-18	2.19617038637e-17
3275.84475964	1.40490335014e-18	1.40490335014e-18	2.18681177862e-17
3276.04279387	3.19477486473e-18	3.19477486473e-18	2.14654716553e-17
3276.24082809	3.19469223797e-18	3.19469223797e-18	2.10877912581e-17
3276.43886232	3.19460966264e-18	3.19460966264e-18	2.20536761631e-17
3276.63689655	3.88983943179e-18	3.88983943179e-18	2.16697239267e-17
3276.83493077	4.39723742258e-18	4.39723742258e-18	2.34976947386e-17
3277.032965	4.39712396767e-18	4.39712396767e-18	2.22391787041e-17
3277.23099921	4.39701058342e-18	4.39701058342e-18	2.22069061839e-17
3277.42903344	4.3968972698e-18	4.3968972698e-18	2.26266245189e-17
3277.62706767	4.9346529721e-18	4.9346529721e-18	2.28404686872e-17
3277.82510189	4.39667085431e-18	4.39667085431e-18	2.30061694324e-17
3278.02313612	4.93439901701e-18	4.93439901701e-18	2.32195804135e-17
3278.22117034	4.93427215815e-18	4.93427215815e-18	2.40577189515e-17
3278.41920457	4.3963317599e-18	4.3963317599e-18	2.30840647406e-17
3278.61723879	4.93401867759e-18	4.93401867759e-18	2.30542156902e-17
3278.81527302	6.58553851637e-18	6.58553851637e-18	2.30587795745e-17
3279.01330725	4.93376551299e-18	4.93376551299e-18	2.28028459655e-17
3279.21134147	4.93363904907e-18	4.93363904907e-18	2.27304729638e-17
3279.4093757	4.93351266401e-18	4.93351266401e-18	2.26800084423e-17
3279.60840009	4.93338572646e-18	4.93338572646e-18	2.31390793457e-17
3279.80643432	6.56066331601e-18	6.56066331601e-18	2.22862433082e-17
3280.00446854	6.5604955534e-18	6.5604955534e-18	2.28079650816e-17
3280.20250277	4.93300728151e-18	4.93300728151e-18	2.24794817563e-17
3280.40053699	4.39520545557e-18	4.39520545557e-18	2.2835298422e-17
3280.59857121	4.93275537826e-18	4.93275537826e-18	2.31597656489e-17
3280.79660544	4.93262954452e-18	4.93262954452e-18	2.23468176796e-17
3280.99463967	4.93250378932e-18	4.93250378932e-18	2.32464222536e-17
3281.19267389	4.93237811262e-18	4.93237811262e-18	2.3534156295e-17
3281.39070812	4.93225251438e-18	4.93225251438e-18	2.34253565072e-17
3281.58874234	1.40385796969e-18	1.40385796969e-18	2.39044769949e-17
3281.78677657	1.40382226461e-18	1.40382226461e-18	2.3508662297e-17
3281.9848108	1.40378658183e-18	1.40378658183e-18	2.29742567898e-17
3282.18284502	1.40375092133e-18	1.40375092133e-18	2.32853031127e-17
3282.38087925	1.4037152831e-18	1.4037152831e-18	2.28537465729e-17
3282.57891347	8.80655629786e-19	8.80655629786e-19	2.30041578579e-17
3282.77694769	-2.01413741699e-18	-2.01413741699e-18	2.17715831175e-17
3282.97498192	-2.50978232867e-18	-2.50978232867e-18	2.24411736306e-17
3283.17301615	-2.50971876328e-18	-2.50971876328e-18	2.22488378614e-17
3283.37105037	-3.39848458226e-18	-3.39848458226e-18	2.2872503169e-17
3283.5690846	-8.11032269946e-18	-8.11032269946e-18	2.31503506542e-17
3283.76711882	-8.11011765818e-18	-8.11011765818e-18	2.36468978945e-17
3283.96515305	-8.10991274503e-18	-8.10991274503e-18	2.11003570349e-17
3284.16318728	-2.5094015317e-18	-2.5094015317e-18	2.19908680816e-17
3284.3612215	-2.5093382043e-18	-2.5093382043e-18	2.19225952728e-17
3284.55925573	-2.50927491648e-18	-2.50927491648e-18	2.20739303092e-17
3284.75728995	-9.49613202845e-18	-9.49613202845e-18	2.34857412198e-17
3284.95532417	-1.03804763305e-17	-1.03804763305e-17	2.36725204472e-17
3285.1533584	-1.03802149963e-17	-1.03802149963e-17	2.30398887165e-17
