#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3267.86299023	0.0	0.0	2.9999160488e-17
3268.06102445	0.0	0.0	3.00765352361e-17
3268.25905868	0.0	0.0	2.9705594776e-17
3268.45709289	0.0	0.0	2.83986975007e-17
3268.65512712	0.0	0.0	2.78062715786e-17
3268.85316134	0.0	0.0	2.92004701434e-17
3269.05119557	0.0	0.0	2.81070733987e-17
3269.24922979	0.0	0.0	2.81835238443e-17
3269.44726402	0.0	0.0	2.78487979991e-17
3269.64529824	0.0	0.0	2.93899527455e-17
3269.84333247	0.0	0.0	2.79853988281e-17
3270.04136669	0.0	0.0	2.69731324063e-17
3270.23940092	0.0	0.0	2.82094972688e-17
3270.43743515	0.0	0.0	2.93256437009e-17
3270.63546937	0.0	0.0	2.95118767765e-17
3270.83350359	0.0	0.0	2.96638066862e-17
3271.03153781	0.0	0.0	2.95040061932e-17
3271.22957204	0.0	0.0	2.91128600302e-17
3271.42760626	3.46816038343e-18	3.46816038343e-18	2.88866249132e-17
3271.62564049	3.46806943229e-18	3.46806943229e-18	2.9094847475e-17
3271.82367471	3.46797853759e-18	3.46797853759e-18	2.92426373e-17
3272.02170894	3.46788769928e-18	3.46788769928e-18	2.89478627182e-17
3272.21974316	3.97415896139e-18	3.97415896139e-18	2.8101630448e-17
3272.41777739	5.56468429576e-18	5.56468429576e-18	2.86427038212e-17
3272.61581161	7.24309564002e-18	7.24309564002e-18	2.78542125671e-17
3272.81384584	8.16514575696e-18	8.16514575696e-18	2.9463010641e-17
3273.01188005	7.24271721605e-18	7.24271721605e-18	2.82196475295e-17
3273.20991428	7.24252818031e-18	7.24252818031e-18	2.91896411326e-17
3273.40893868	7.24233831772e-18	7.24233831772e-18	2.89896257759e-17
3273.60697291	7.24214951738e-18	7.24214951738e-18	2.8987966805e-17
3273.80500712	7.24196083437e-18	7.24196083437e-18	2.93732690436e-17
3274.00304135	7.24177226862e-18	7.24177226862e-18	2.91478538967e-17
3274.20107557	8.16365480758e-18	8.16365480758e-18	2.99068794856e-17
3274.3991098	1.01043384456e-17	1.01043384456e-17	2.99396663841e-17
3274.59714403	1.05260786769e-17	1.05260786769e-17	2.96904935287e-17
3274.79517825	1.0525805252e-17	1.0525805252e-17	2.95022242698e-17
3274.99321248	1.05255319971e-17	1.05255319971e-17	2.90414794329e-17
3275.1912467	1.05252589122e-17	1.05252589122e-17	2.92128092525e-17
3275.38928093	1.05249859972e-17	1.05249859972e-17	2.91246380729e-17
3275.58731515	1.03979677762e-17	1.03979677762e-17	2.99382533663e-17
3275.78534938	1.03976984832e-17	1.03976984832e-17	2.91114896638e-17
3275.98338361	1.05241682707e-17	1.05241682707e-17	2.8723808997e-17
3276.18141782	1.05238960344e-17	1.05238960344e-17	2.91964103788e-17
3276.37945205	1.06005052216e-17	1.06005052216e-17	2.92505182183e-17
3276.57748627	1.05233520701e-17	1.05233520701e-17	2.86477996168e-17
3276.7755205	1.05999576245e-17	1.05999576245e-17	2.85555386605e-17
3276.97355472	1.05996840817e-17	1.05996840817e-17	2.82213499105e-17
3277.17158895	1.05225373932e-17	1.05225373932e-17	2.91774322492e-17
3277.36962318	1.0395550166e-17	1.0395550166e-17	2.89009188387e-17
3277.5676574	1.01001559777e-17	1.01001559777e-17	3.00181761701e-17
3277.76569163	1.00998959548e-17	1.00998959548e-17	2.97953571296e-17
3277.96372585	1.03947473037e-17	1.03947473037e-17	2.97843587191e-17
3278.16176008	1.03944800163e-17	1.03944800163e-17	2.99843451814e-17
3278.3597943	1.00991168579e-17	1.00991168579e-17	2.91249104716e-17
3278.55782852	4.62664383487e-18	4.62664383487e-18	2.94831025407e-17
3278.75586275	3.97076125221e-18	3.97076125221e-18	2.91021665683e-17
3278.95488715	4.62640580587e-18	4.62640580587e-18	2.98859809882e-17
3279.15292137	6.42774392806e-18	6.42774392806e-18	2.97423567853e-17
3279.35095559	9.44538468537e-18	9.44538468537e-18	2.99759651921e-17
3279.54898982	6.42741465357e-18	6.42741465357e-18	2.98073345364e-17
3279.74702405	6.42725017033e-18	6.42725017033e-18	2.95896285506e-17
3279.94505827	4.62581351263e-18	4.62581351263e-18	3.00932096375e-17
3280.1430925	4.62569527557e-18	4.62569527557e-18	2.96334877975e-17
3280.34112672	6.42675733607e-18	6.42675733607e-18	2.96647481673e-17
3280.53916095	6.42659326294e-18	6.42659326294e-18	3.01546537695e-17
3280.73719518	6.4264292922e-18	6.4264292922e-18	3.0260717342e-17
3280.9352294	4.62522306468e-18	4.62522306468e-18	2.99741483901e-17
3281.13326363	6.4261016577e-18	6.4261016577e-18	2.9458886482e-17
3281.33129786	8.39220234701e-18	8.39220234701e-18	3.02786285256e-17
3281.52933207	8.39198873729e-18	8.39198873729e-18	2.98584137034e-17
3281.7273663	8.39177526092e-18	8.39177526092e-18	2.97102297342e-17
3281.92540052	8.39156191786e-18	8.39156191786e-18	2.96101508652e-17
3282.12343475	8.39134870802e-18	8.39134870802e-18	2.97729205871e-17
3282.32146898	8.39113563134e-18	8.39113563134e-18	2.91089839218e-17
3282.5195032	6.42495815435e-18	6.42495815435e-18	2.93380577166e-17
3282.71753743	4.62416489301e-18	4.62416489301e-18	2.91790704416e-17
3282.91557166	3.70149648016e-18	3.70149648016e-18	3.0232188019e-17
3283.11360588	3.70140271532e-18	3.70140271532e-18	2.89655929973e-17
3283.31164011	4.62381348931e-18	4.62381348931e-18	2.96349400654e-17
3283.50967434	6.4241444228e-18	6.4241444228e-18	2.9723677689e-17
3283.70770855	8.38964781696e-18	8.38964781696e-18	2.92729226874e-17
3283.90574278	8.76834972048e-18	8.76834972048e-18	2.93488334724e-17
3284.103777	8.38922392146e-18	8.38922392146e-18	2.89377767259e-17
3284.30181123	6.42349526622e-18	6.42349526622e-18	2.97043129034e-17
3284.50083563	4.62311207284e-18	4.62311207284e-18	2.91324844092e-17
3284.69886985	3.70065423654e-18	3.70065423654e-18	2.93155413633e-17
3284.89690408	3.70056099809e-18	3.70056099809e-18	2.97384390501e-17
3285.09493831	3.70046781793e-18	3.70046781793e-18	2.96447000104e-17
