#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3267.89071502	0.0	0.0	1.78993222005e-17
3268.08874924	0.0	0.0	1.77556972703e-17
3268.28678347	0.0	0.0	1.87817675517e-17
3268.48481769	0.0	0.0	1.76082074569e-17
3268.68285192	0.0	0.0	1.69744076278e-17
3268.88088614	0.0	0.0	1.71250930305e-17
3269.07892037	0.0	0.0	1.8124833788e-17
3269.27695459	0.0	0.0	1.69977698142e-17
3269.47597898	0.0	0.0	1.72758229551e-17
3269.67401321	0.0	0.0	1.69299981147e-17
3269.87204743	0.0	0.0	1.78285392855e-17
3270.07008166	0.0	0.0	1.79208665154e-17
3270.26811588	0.0	0.0	1.7952600164e-17
3270.4661501	0.0	0.0	1.77586341891e-17
3270.66418432	0.0	0.0	1.73548965932e-17
3270.86221855	0.0	0.0	1.74392448343e-17
3271.06025277	6.46629766956e-20	6.46629766956e-20	1.78800491229e-17
3271.258287	1.42953212584e-18	1.42953212584e-18	1.77510737739e-17
3271.45632123	2.50666435259e-18	2.50666435259e-18	1.82626700495e-17
3271.65435545	4.98158921601e-18	4.98158921601e-18	1.81349191485e-17
3271.85238968	4.98145866468e-18	4.98145866468e-18	1.74720185917e-17
3272.0504239	4.98132819437e-18	4.98132819437e-18	1.81084985373e-17
3272.24845813	4.98119780504e-18	4.98119780504e-18	1.78837014721e-17
3272.44649235	5.12636262265e-18	5.12636262265e-18	1.77714948957e-17
3272.64452657	6.17195511135e-18	6.17195511135e-18	1.69465759056e-17
3272.84256079	6.59294017321e-18	6.59294017321e-18	1.72444671033e-17
3273.04059502	6.59276800914e-18	6.59276800914e-18	1.80274604786e-17
3273.23862924	6.72909263203e-18	6.72909263203e-18	1.72437397943e-17
3273.43666347	6.72891712163e-18	6.72891712163e-18	1.85263958474e-17
3273.63469769	6.72874172029e-18	6.72874172029e-18	1.77115462745e-17
3273.83273192	6.72856642793e-18	6.72856642793e-18	1.8357294646e-17
3274.03076615	6.96870341418e-18	6.96870341418e-18	1.82012421069e-17
3274.22880037	6.72821617002e-18	6.72821617002e-18	1.77454971123e-17
3274.4268346	6.72804120434e-18	6.72804120434e-18	1.83238868455e-17
3274.62585899	6.96815886459e-18	6.96815886459e-18	1.82667275722e-17
3274.82389322	7.41804446549e-18	7.41804446549e-18	1.784326621e-17
3275.02192744	7.41785190621e-18	7.41785190621e-18	1.795836289e-17
3275.21996167	7.4176594667e-18	7.4176594667e-18	1.80578060862e-17
3275.41799589	6.9674355841e-18	6.9674355841e-18	1.78529519969e-17
3275.61603012	6.96725504511e-18	6.96725504511e-18	1.70775506902e-17
3275.81406433	6.96707461847e-18	6.96707461847e-18	1.76128386361e-17
3276.01209856	7.41689090528e-18	7.41689090528e-18	1.84056462862e-17
3276.21013279	7.69627903335e-18	7.69627903335e-18	1.85730789996e-17
3276.40816701	7.82995411749e-18	7.82995411749e-18	1.78163668286e-17
