#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3286.44751207	2.45257092899e-18	2.45257092899e-18	1.77626183048e-17
3286.6455463	2.45250946292e-18	2.45250946292e-18	1.80948003894e-17
3286.84358052	2.4524480353e-18	2.4524480353e-18	1.84108041155e-17
3287.04161475	2.4523866461e-18	2.4523866461e-18	1.78054310512e-17
3287.23964898	2.45232529532e-18	2.45232529532e-18	1.68461170957e-17
3287.4376832	3.53736853012e-18	3.53736853012e-18	1.6362774095e-17
3287.63571742	3.53728014289e-18	3.53728014289e-18	1.67854538601e-17
3287.83375165	4.79303607884e-18	4.79303607884e-18	1.6336122889e-17
3288.03178588	6.69428750817e-18	6.69428750817e-18	1.67880388658e-17
3288.23081027	4.79279631941e-18	4.79279631941e-18	1.61339831775e-17
3288.4288445	3.53692670603e-18	3.53692670603e-18	1.72656896912e-17
3288.62687872	2.45189660812e-18	2.45189660812e-18	1.52597910847e-17
3288.82491295	3.53675053973e-18	3.53675053973e-18	1.62318180452e-17
3289.02294718	3.53666253926e-18	3.53666253926e-18	1.70879432613e-17
3289.22098141	3.53657459389e-18	3.53657459389e-18	1.60707745227e-17
3289.41901563	5.57571062828e-18	5.57571062828e-18	1.68244284037e-17
3289.61704986	5.57557214502e-18	5.57557214502e-18	1.72066922861e-17
3289.81508409	4.44929634671e-18	4.44929634671e-18	1.61085629516e-17
3290.01311831	4.44918597291e-18	4.44918597291e-18	1.59126637148e-17
3290.21115254	5.57515721521e-18	5.57515721521e-18	1.65101236791e-17
3290.40918676	5.57501907843e-18	5.57501907843e-18	1.55410250544e-17
3290.60722098	5.57488102814e-18	5.57488102814e-18	1.49910924329e-17
3290.80525521	4.44874516834e-18	4.44874516834e-18	1.44902792621e-17
3291.00328944	3.53578555905e-18	3.53578555905e-18	1.53528851963e-17
3291.20132367	3.53569816275e-18	3.53569816275e-18	1.55388787327e-17
3291.39935789	2.869875863e-18	2.869875863e-18	1.60352825161e-17
3291.59739212	2.86980501175e-18	2.86980501175e-18	1.66581839479e-17
3291.79542635	2.86973420486e-18	2.86973420486e-18	1.6210798187e-17
3291.99346058	2.45086403957e-18	2.45086403957e-18	1.66385765868e-17
3292.1914948	2.45080364198e-18	2.45080364198e-18	1.66751964557e-17
3292.38952903	2.45074328222e-18	2.45074328222e-18	1.67657273058e-17
3292.58756325	2.45068296026e-18	2.45068296026e-18	1.50275903499e-17
3292.78559747	2.45062267609e-18	2.45062267609e-18	1.51275742783e-17
3292.9836317	2.86931029383e-18	2.86931029383e-18	1.65183977021e-17
3293.18166593	3.1911312107e-18	3.1911312107e-18	1.54832364093e-17
3293.37970016	3.19105285392e-18	3.19105285392e-18	1.56734336335e-17
3293.57773438	2.86909893516e-18	2.86909893516e-18	1.60354509861e-17
3293.77576861	2.86902857051e-18	2.86902857051e-18	1.6127414555e-17
3293.97380284	2.45026176314e-18	2.45026176314e-18	1.56215273808e-17
3294.17282723	2.45020144279e-18	2.45020144279e-18	1.54627608795e-17
3294.37086146	2.45014146022e-18	2.45014146022e-18	1.67002154816e-17
3294.56889569	2.4499351686e-18	2.4499351686e-18	1.57136639539e-17
