#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
6000.11578601	1.35221383984e-17	1.35158240103e-17	4.52872835955e-18
6000.3138206	1.34661324665e-17	1.3459668864e-17	4.59107573882e-18
6000.51185521	1.3173226514e-17	1.31669445096e-17	4.48694374478e-18
6000.7098898	1.3173091263e-17	1.31668093232e-17	4.52341573262e-18
6000.9079244	1.31272713688e-17	1.31207211545e-17	4.52608865252e-18
6001.10595901	1.31271366033e-17	1.31205864562e-17	4.45674001261e-18
6001.3039936	1.31726855594e-17	1.3166403813e-17	4.5902491836e-18
6001.50202821	1.31725503412e-17	1.31662686593e-17	4.49921753382e-18
6001.7000628	1.31724151313e-17	1.31661335139e-17	4.5281967561e-18
6001.89908758	1.34650258885e-17	1.34585628172e-17	4.45023168455e-18
6002.09712218	1.35207496107e-17	1.35144358711e-17	4.5840850511e-18
6002.29515677	1.34647495005e-17	1.34582865619e-17	4.40803563419e-18
6002.49319138	1.35204720929e-17	1.35141584829e-17	4.40374113487e-18
6002.69122597	1.4122219225e-17	1.41156157447e-17	4.53828416611e-18
6002.88926058	1.41220743109e-17	1.41154708983e-17	4.54719111058e-18
6003.08729517	1.41219294054e-17	1.41153260606e-17	4.52345576512e-18
6003.28532978	1.55722112385e-17	1.55634523732e-17	4.48669072027e-18
6003.48336437	1.55720514694e-17	1.55632926939e-17	4.52294183645e-18
6003.68139898	1.55718917098e-17	1.55631330242e-17	4.45749319747e-18
6003.87943358	1.41213498711e-17	1.41147467973e-17	4.55095146915e-18
6004.07746818	1.41212050094e-17	1.41146020033e-17	4.61686546429e-18
6004.27550278	1.5571412489e-17	1.55626540729e-17	4.48663250738e-18
6004.47353738	1.55972428074e-17	1.5588394784e-17	4.46157021775e-18
6004.67157198	1.55970828294e-17	1.55882348968e-17	4.2998734735e-18
6004.86960658	1.5596922861e-17	1.55880750191e-17	4.34144379415e-18
6005.06764118	1.55707736624e-17	1.55620156057e-17	4.33275924229e-18
6005.26567578	1.35185304051e-17	1.35122177018e-17	4.35487945995e-18
6005.46371038	1.34625395968e-17	1.34560777189e-17	4.30460169704e-18
6005.66174498	1.34624015484e-17	1.34559397368e-17	4.44025314205e-18
6005.85977958	1.52959306438e-17	1.52872315891e-17	4.49721964396e-18
6006.05781418	1.34621254765e-17	1.34556637974e-17	4.3455913071e-18
6006.25584878	1.31693068774e-17	1.31630267423e-17	4.39683635421e-18
6006.45388339	1.3123500335e-17	1.31169520023e-17	4.41174336235e-18
6006.65191798	1.31233657967e-17	1.31168175311e-17	4.43214868018e-18
6006.85094276	1.31232305938e-17	1.31166823956e-17	4.42211840882e-18
6007.04897736	1.31687661924e-17	1.31624863151e-17	4.3972104073e-18
6007.24701196	1.31229615574e-17	1.31164134935e-17	4.3354741304e-18
6007.44504656	1.31228270513e-17	1.31162790545e-17	4.35363722148e-18
6007.64308116	1.34610208297e-17	1.34545596808e-17	4.54374413424e-18
6007.84111576	1.31225580632e-17	1.31160102006e-17	4.48471828577e-18
6008.03915036	1.31224235811e-17	1.31158757857e-17	4.55142219841e-18
6008.23718497	1.29783520347e-17	1.29716258818e-17	4.44273861324e-18
6008.43521956	1.289736954e-17	1.28900562347e-17	4.43281143913e-18
6008.63325417	1.27930228651e-17	1.27857673014e-17	4.51579489463e-18
6008.83128876	1.27243179612e-17	1.27171641627e-17	4.5420123971e-18
6009.02932337	1.27927607149e-17	1.27855052999e-17	4.57523912043e-18
6009.22735797	1.28968409686e-17	1.2889527963e-17	4.74315094396e-18
6009.42539257	1.28967088454e-17	1.28893959147e-17	4.62202507293e-18
6009.62342718	1.29774212639e-17	1.29706955933e-17	4.49205670893e-18
6009.82146177	1.31212136036e-17	1.31146664119e-17	4.40474976594e-18
6010.01949638	1.39657777573e-17	1.39578585428e-17	4.33178943616e-18
6010.21753097	1.52241827689e-17	1.52155499338e-17	4.38752881882e-18
6010.41556558	1.52240268413e-17	1.52153940946e-17	4.351977581e-18
6010.61360017	1.5223870923e-17	1.52152382647e-17	4.44149021497e-18
6010.81163478	1.5292011849e-17	1.52833150229e-17	4.47983672133e-18
6011.00966938	1.52918552498e-17	1.52831585128e-17	4.4056906567e-18
6011.20770398	1.52916986599e-17	1.52830020119e-17	4.34519658536e-18
6011.40573859	1.52915420792e-17	1.52828455203e-17	4.39830802094e-18
6011.60476335	1.5291384725e-17	1.52826882556e-17	4.49605270267e-18
6011.80279796	1.52912281629e-17	1.52825317825e-17	4.48074713302e-18
6012.00083257	1.52910716101e-17	1.52823753188e-17	4.46106335317e-18
6012.19886716	1.522262313e-17	1.52139911793e-17	4.3613455006e-18
6012.39690177	1.52224672948e-17	1.52138354325e-17	4.39741545787e-18
6012.59493637	1.42434259701e-17	1.42353755276e-17	4.40283931301e-18
6012.79297097	1.39637751717e-17	1.39558570928e-17	4.3633328451e-18
6012.99100557	1.39636322444e-17	1.39557142465e-17	4.36076206848e-18
