#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3267.86794109	0.0	0.0	4.02591081169e-17
3268.06597531	0.0	0.0	4.02607098093e-17
3268.26400953	0.0	0.0	4.05405181098e-17
3268.46204375	0.0	0.0	4.00345352031e-17
3268.66007798	0.0	0.0	4.04658332495e-17
3268.8581122	0.0	0.0	3.93025998279e-17
3269.05614643	0.0	0.0	3.96668981048e-17
3269.25418065	0.0	0.0	3.85770886853e-17
3269.45221488	0.0	0.0	3.91116791773e-17
3269.6502491	0.0	0.0	3.77169269762e-17
3269.84828333	0.0	0.0	3.86253262629e-17
3270.04631755	0.0	0.0	3.73076499495e-17
3270.24435178	0.0	0.0	3.70210352656e-17
3270.44238599	0.0	0.0	3.72940397359e-17
3270.64042022	0.0	0.0	3.78839061028e-17
3270.83845444	0.0	0.0	3.88362319745e-17
3271.03747885	0.0	0.0	3.95201669328e-17
3271.23551306	0.0	0.0	3.84100253796e-17
3271.43354729	0.0	0.0	3.813295185e-17
3271.63158151	0.0	0.0	3.73638814549e-17
3271.82961574	0.0	0.0	3.83797052285e-17
3272.02764996	0.0	0.0	3.8126804005e-17
3272.22568419	0.0	0.0	3.84237743692e-17
3272.42371841	0.0	0.0	3.88279313373e-17
3272.62175264	-2.10700721317e-18	-2.10700721317e-18	3.85571387187e-17
3272.81978686	-5.31242147891e-18	-5.31242147891e-18	3.81889364507e-17
3273.01782109	-1.71659483233e-17	-1.71659483233e-17	3.75445702335e-17
3273.21585531	-5.31214409534e-18	-5.31214409534e-18	3.7969824769e-17
3273.41388954	-5.31200553277e-18	-5.31200553277e-18	3.74230519842e-17
3273.61192376	-5.31186705629e-18	-5.31186705629e-18	3.85544329856e-17
3273.80995798	-5.31172866587e-18	-5.31172866587e-18	3.94689587438e-17
3274.00799221	-5.31159036145e-18	-5.31159036145e-18	3.91857649982e-17
3274.20602643	-1.99173111306e-17	-1.99173111306e-17	3.81302330042e-17
3274.40406066	-1.99167931502e-17	-1.99167931502e-17	3.94510822818e-17
3274.60209488	-2.15734287972e-17	-2.15734287972e-17	3.82938806938e-17
3274.80012911	-2.15728684152e-17	-2.15728684152e-17	3.83469254335e-17
3274.99816333	-2.71460749572e-17	-2.71460749572e-17	3.71602865587e-17
3275.19619756	-2.15717486966e-17	-2.15717486966e-17	3.78018767536e-17
3275.39423179	-1.99142080756e-17	-1.99142080756e-17	3.87816664738e-17
3275.59226601	-5.31048701746e-18	-5.31048701746e-18	3.82030758415e-17
3275.79030023	-5.31034948526e-18	-5.31034948526e-18	3.81446507346e-17
3275.98833445	-1.99126608875e-17	-1.99126608875e-17	3.81647727165e-17
3276.18636868	-2.15689554902e-17	-2.15689554902e-17	3.73932588964e-17
3276.38539308	-1.99116284599e-17	-1.99116284599e-17	3.81250781856e-17
3276.58342731	-5.30979952622e-18	-5.30979952622e-18	3.89528700422e-17
3276.78146152	-5.30966242199e-18	-5.30966242199e-18	3.8150171376e-17
3276.97949575	-8.71660091712e-18	-8.71660091712e-18	3.72584154949e-17
3277.17752997	-8.71637611459e-18	-8.71637611459e-18	3.71178730368e-17
3277.3755642	-8.71615145208e-18	-8.71615145208e-18	3.8265982831e-17
3277.57359843	-1.99085465927e-17	-1.99085465927e-17	3.8084065231e-17
3277.77163265	-2.1564501637e-17	-2.1564501637e-17	3.82496345397e-17
3277.96966688	-2.15639468125e-17	-2.15639468125e-17	3.88427121012e-17
3278.1677011	-1.99070099749e-17	-1.99070099749e-17	3.96861640249e-17
3278.36573533	-1.99064984072e-17	-1.99064984072e-17	3.92413302208e-17
3278.56376956	-8.71480641367e-18	-8.71480641367e-18	3.86331026274e-17
3278.76180378	2.30309269897e-18	2.30309269897e-18	3.84130974282e-17
3278.959838	-8.71435918456e-18	-8.71435918456e-18	3.76276580109e-17
3279.15787222	-1.99044553238e-17	-1.99044553238e-17	3.81649724243e-17
3279.35590645	-2.15600727126e-17	-2.15600727126e-17	3.93170464764e-17
3279.55394068	-2.789285152e-17	-2.789285152e-17	3.89338595781e-17
3279.7519749	-2.78921377279e-17	-2.78921377279e-17	3.88840880187e-17
3279.95000913	-2.78914243811e-17	-2.78914243811e-17	3.866491692e-17
3280.14804335	-2.15578665248e-17	-2.15578665248e-17	3.91085911392e-17
3280.34607758	-2.77545543782e-17	-2.77545543782e-17	3.84482464952e-17
3280.54411181	-2.77538458236e-17	-2.77538458236e-17	3.85758402921e-17
