#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3267.8808133	0.0	0.0	5.55012900171e-17
3268.07884753	0.0	0.0	5.69430227873e-17
3268.27688175	0.0	0.0	5.76660117854e-17
3268.47491598	0.0	0.0	5.86639716999e-17
3268.6729502	0.0	0.0	5.71657098206e-17
3268.87098443	0.0	0.0	5.73100879487e-17
3269.06901865	0.0	0.0	5.57628870446e-17
3269.26705288	0.0	0.0	5.56653354648e-17
3269.4650871	0.0	0.0	5.51109022473e-17
3269.66312133	0.0	0.0	5.4863437529e-17
3269.86115555	0.0	0.0	5.37765658265e-17
3270.05918978	0.0	0.0	5.3380292394e-17
3270.25821417	0.0	0.0	5.27226754468e-17
3270.4562484	0.0	0.0	5.38786969924e-17
3270.65428262	0.0	0.0	5.28496811182e-17
3270.85231685	0.0	0.0	5.40821765317e-17
3271.05035106	0.0	0.0	5.35946276699e-17
3271.24838529	0.0	0.0	5.32561618112e-17
3271.44641951	0.0	0.0	5.29265377271e-17
3271.64445374	0.0	0.0	5.28302598291e-17
3271.84248796	0.0	0.0	5.28401870709e-17
3272.04052219	0.0	0.0	5.31716203599e-17
3272.23855641	0.0	0.0	5.49075226293e-17
3272.43659064	0.0	0.0	5.37688865077e-17
3272.63462486	0.0	0.0	5.22675866493e-17
3272.83265909	-3.14192035757e-18	-3.14192035757e-18	5.16446508151e-17
3273.03069331	8.13794823081e-19	8.13794823081e-19	5.25744869244e-17
3273.22872753	-3.14175631122e-18	-3.14175631122e-18	5.30794323633e-17
3273.42676176	8.13752358404e-19	8.13752358404e-19	5.26647997897e-17
3273.62479598	8.13731145852e-19	8.13731145852e-19	5.32741219211e-17
3273.82283021	8.13709946481e-19	8.13709946481e-19	5.37791648043e-17
3274.02086443	8.13688760285e-19	8.13688760285e-19	5.38477846522e-17
3274.21889866	8.13667587258e-19	8.13667587258e-19	5.11767096222e-17
3274.41693288	-3.14126539393e-18	-3.14126539393e-18	5.21437590929e-17
3274.61496711	-3.1411837523e-18	-3.1411837523e-18	5.22685677133e-17
3274.81300133	-4.00174134209e-18	-4.00174134209e-18	5.17575660994e-17
3275.01103556	-4.28563197159e-18	-4.28563197159e-18	5.24940436667e-17
3275.20906979	-4.28552078684e-18	-4.28552078684e-18	5.25734657989e-17
3275.40710401	-4.62813297501e-18	-4.62813297501e-18	5.26385071485e-17
3275.6061284	-6.57096653214e-18	-6.57096653214e-18	5.30225764495e-17
3275.80416263	-6.57079636286e-18	-6.57079636286e-18	5.33236763417e-17
3276.00219686	-6.57062629948e-18	-6.57062629948e-18	5.33029013609e-17
3276.20023108	-6.57045634196e-18	-6.57045634196e-18	5.19985672618e-17
3276.3982653	-6.57028649023e-18	-6.57028649023e-18	5.36977361805e-17
3276.59629952	-8.21925307144e-18	-8.21925307144e-18	5.32028230837e-17
3276.79433375	-8.21904085049e-18	-8.21904085049e-18	5.34575877552e-17
3276.99236798	-8.21882876171e-18	-8.21882876171e-18	5.2282038039e-17
3277.1904022	-4.62705571619e-18	-4.62705571619e-18	5.21966704362e-17
3277.38843643	-4.62693645957e-18	-4.62693645957e-18	5.30349820342e-17
3277.58647065	-8.21819328767e-18	-8.21819328767e-18	5.24233548866e-17
3277.78450488	-4.62669816916e-18	-4.62669816916e-18	5.3740794602e-17
3277.9825391	-4.28397089678e-18	-4.28397089678e-18	5.49545611645e-17
3278.18057333	-4.28386074633e-18	-4.28386074633e-18	5.41671719524e-17
3278.37860756	-4.28375066453e-18	-4.28375066453e-18	5.50237974354e-17
3278.57664178	-3.99977809848e-18	-3.99977809848e-18	5.30016649921e-17
3278.774676	-3.28141159792e-18	-3.28141159792e-18	5.26575027693e-17
3278.97271022	-3.99957284462e-18	-3.99957284462e-18	5.36858415486e-17
3279.17074445	-4.28331102318e-18	-4.28331102318e-18	5.31259855053e-17
3279.36877868	-3.99936784665e-18	-3.99936784665e-18	5.38980691738e-17
3279.5668129	-4.28309161352e-18	-4.28309161352e-18	5.44145515464e-17
3279.76484713	-4.62551116427e-18	-4.62551116427e-18	5.36086120079e-17
3279.96288135	-4.28287247748e-18	-4.28287247748e-18	5.3311258585e-17
3280.16091558	-4.28276301199e-18	-4.28276301199e-18	5.34925951283e-17
3280.35894981	-4.62515650441e-18	-4.62515650441e-18	5.2665675882e-17
3280.55698403	-4.62503843196e-18	-4.62503843196e-18	5.22175386004e-17
3280.75501826	-4.6249204332e-18	-4.6249204332e-18	5.2231980529e-17
3280.95404265	-4.62480191864e-18	-4.62480191864e-18	5.3183664975e-17
3281.15207688	-3.99844800606e-18	-3.99844800606e-18	5.28055656984e-17
3281.35011111	-3.99834617694e-18	-3.99834617694e-18	5.40143016506e-17
3281.54814533	-3.9982444114e-18	-3.9982444114e-18	5.3665499126e-17
3281.74617955	-3.99814270939e-18	-3.99814270939e-18	5.41365089884e-17
3281.94421377	-3.99804107089e-18	-3.99804107089e-18	5.27315726865e-17
3282.142248	-3.84385475723e-18	-3.84385475723e-18	5.32759074038e-17
3282.34028223	-3.27990411384e-18	-3.27990411384e-18	5.31210970412e-17
3282.53831645	-3.27982088378e-18	-3.27982088378e-18	5.19871905252e-17
3282.73635068	-2.84167141917e-18	-2.84167141917e-18	5.28295689924e-17
3282.93438491	-7.40699635853e-19	-7.40699635853e-19	5.31620401055e-17
3283.13241913	-7.40680873811e-19	-7.40680873811e-19	5.28418364139e-17
3283.33045336	2.70727861148e-19	2.70727861148e-19	5.30898558086e-17
3283.52848759	-7.40643384887e-19	-7.40643384887e-19	5.31621137951e-17
3283.72652181	-7.40624657994e-19	-7.40624657994e-19	5.30634190621e-17
3283.92455603	2.70707325904e-19	2.70707325904e-19	5.27532011833e-17
3284.12259026	2.70700489377e-19	2.70700489377e-19	5.36960860958e-17
3284.32062448	2.70693657123e-19	2.70693657123e-19	5.42586924934e-17
3284.51865871	6.19647167335e-19	6.19647167335e-19	5.33112559504e-17
3284.71669293	3.30761287168e-18	3.30761287168e-18	5.3484888391e-17
3284.91472716	3.30752954046e-18	3.30752954046e-18	5.48645281413e-17
3285.11276139	3.30744626134e-18	3.30744626134e-18	5.46429188262e-17
3285.31079561	3.30736303429e-18	3.30736303429e-18	5.28533238474e-17
3285.50882984	3.30727985929e-18	3.30727985929e-18	5.37117631606e-17
3285.70686407	3.3071967363e-18	3.3071967363e-18	5.38284716996e-17
3285.90489829	6.19538027907e-19	6.19538027907e-19	5.34454620861e-17
3286.10293252	6.19522475536e-19	6.19522475536e-19	5.36487387448e-17
3286.30195692	6.19506855204e-19	6.19506855204e-19	5.29803818074e-17
3286.49999114	6.19491322333e-19	6.19491322333e-19	5.43148255125e-17
3286.69802537	3.30678148636e-18	3.30678148636e-18	5.45248993373e-17
3286.8960596	3.30669867511e-18	3.30669867511e-18	5.48586322851e-17
3287.09409381	3.30661591566e-18	3.30661591566e-18	5.38420019191e-17
3287.29212804	6.19429287958e-19	6.19429287958e-19	5.37655324326e-17
3287.49016227	2.70584886472e-19	2.70584886472e-19	5.20585368878e-17
3287.68819649	6.19398328961e-19	6.19398328961e-19	5.38274987827e-17
3287.88623072	2.70571370798e-19	2.70571370798e-19	5.37143591521e-17
3288.08426495	6.19367408697e-19	6.19367408697e-19	5.3001166913e-17
3288.28229917	6.19351963078e-19	6.19351963078e-19	5.23727442778e-17
3288.4803334	2.7055112899e-19	2.7055112899e-19	5.12047561162e-17
3288.67836763	-3.84985689663e-19	-3.84985689663e-19	5.23916999096e-17
3288.87640186	-7.40141755635e-19	-7.40141755635e-19	5.26437427783e-17
3289.07443608	-7.40123342509e-19	-7.40123342509e-19	5.33717480391e-17
3289.2724703	-3.8495695754e-19	-3.8495695754e-19	5.23385692009e-17
3289.47050453	2.70517477018e-19	2.70517477018e-19	5.3356621047e-17
3289.66853875	6.19244114096e-19	6.19244114096e-19	5.29903049598e-17
3289.86657298	6.19228745653e-19	6.19228745653e-19	5.14334733199e-17
3290.06460721	6.19213386833e-19	6.19213386833e-19	5.09950079534e-17
3290.26264143	2.70490631203e-19	2.70490631203e-19	5.10271593168e-17
3290.46067566	6.19182698035e-19	6.19182698035e-19	4.91925714286e-17
3290.65870989	2.70477233494e-19	2.70477233494e-19	4.85945968371e-17
3290.85674412	6.19152047656e-19	6.19152047656e-19	4.78466115865e-17
3291.05477834	6.19136736861e-19	6.19136736861e-19	4.9911223511e-17
3291.25281257	-3.84861572727e-19	-3.84861572727e-19	5.01249624522e-17
3291.45084679	6.19106144025e-19	6.19106144025e-19	5.02606229831e-17
3291.64987119	6.19090785589e-19	6.19090785589e-19	5.1311571057e-17
3291.84790542	7.7127086105e-19	7.7127086105e-19	5.17633663911e-17
3292.04593965	6.1906025029e-19	6.1906025029e-19	5.08307108873e-17
3292.24397387	-3.84814056513e-19	-3.84814056513e-19	5.07577407955e-17
3292.44200809	-3.96075848446e-18	-3.96075848446e-18	5.0871522548e-17
3292.64004232	-3.96066101093e-18	-3.96066101093e-18	5.16377698623e-17
3292.83807655	-3.96056359845e-18	-3.96056359845e-18	5.13967287496e-17
3293.03611077	-4.55546704969e-18	-4.55546704969e-18	5.15544944779e-17
3293.234145	-5.30067607344e-18	-5.30067607344e-18	5.06461485224e-17
3293.43217923	-5.3005459385e-18	-5.3005459385e-18	4.97664461843e-17
3293.63021346	-4.55513153913e-18	-4.55513153913e-18	5.16361505363e-17
3293.82824768	-4.55501984236e-18	-4.55501984236e-18	5.22774266675e-17
3294.02628191	-4.55490821555e-18	-4.55490821555e-18	5.29649273308e-17
3294.22431614	-4.55479665866e-18	-4.55479665866e-18	5.25929247257e-17
3294.42235037	-4.55468517165e-18	-4.55468517165e-18	5.10353596023e-17
3294.62038458	-5.29976683893e-18	-5.29976683893e-18	4.99994011206e-17
3294.81841881	-5.55807609961e-18	-5.55807609961e-18	4.97949359634e-17
3295.01645304	-5.29950778931e-18	-5.29950778931e-18	4.99811769803e-17
3295.21448727	-4.55423992156e-18	-4.55423992156e-18	4.95800780285e-17
3295.41252149	-5.29924906413e-18	-5.29924906413e-18	5.06403860933e-17
3295.61055572	-4.55401771467e-18	-4.55401771467e-18	4.98479129232e-17
3295.80858995	-3.959109712e-18	-3.959109712e-18	5.05991297074e-17
3296.00662418	-3.84635025701e-19	-3.84635025701e-19	4.90427357835e-17
3296.2046584	-3.95891689092e-18	-3.95891689092e-18	4.91817804214e-17
3296.40269263	-3.84616304045e-19	-3.84616304045e-19	4.98222099294e-17
3296.60072686	7.70817770033e-19	7.70817770033e-19	4.89534193779e-17
3296.79876108	-3.84597605838e-19	-3.84597605838e-19	4.90106547245e-17
3296.99778548	-3.9585314924e-18	-3.9585314924e-18	4.77812267872e-17
3297.19581971	-3.95843541386e-18	-3.95843541386e-18	4.7577005148e-17
3297.39385394	-3.95833939551e-18	-3.95833939551e-18	4.728520799e-17
3297.59188816	-3.84560233049e-19	-3.84560233049e-19	4.60952033206e-17
3297.78992238	-3.9581475392e-18	-3.9581475392e-18	4.7016121977e-17
3297.98795661	-4.0820816127e-18	-4.0820816127e-18	4.73504844226e-17
3298.18599084	-4.08198283338e-18	-4.08198283338e-18	4.90033415373e-17
3298.38402507	-3.95786020515e-18	-3.95786020515e-18	5.04614416342e-17
3298.5820593	-6.75350810544e-19	-6.75350810544e-19	5.0113983468e-17
3298.78009352	-6.2553374018e-19	-6.2553374018e-19	5.07240129612e-17
3298.97812775	7.70593673933e-19	7.70593673933e-19	5.03747701484e-17
3299.17616198	1.83521371338e-18	1.83521371338e-18	5.09678227431e-17
3299.37419621	7.70556503664e-19	7.70556503664e-19	4.95083634322e-17
3299.57223044	-6.25473395275e-19	-6.25473395275e-19	4.84744925033e-17
3299.77026466	-6.25458332663e-19	-6.25458332663e-19	4.68768689473e-17
3299.96829888	-6.25443279483e-19	-6.25443279483e-19	4.69144954799e-17
3300.16633311	-6.2542823573e-19	-6.2542823573e-19	4.7175861718e-17
3300.36436734	7.70463781489e-19	7.70463781489e-19	4.68876667012e-17
3300.56240157	-6.2539817648e-19	-6.2539817648e-19	4.89894590835e-17
3300.76043579	7.70426773859e-19	7.70426773859e-19	4.90159814117e-17
3300.95847002	7.70408287421e-19	7.70408287421e-19	4.97288690455e-17
3301.15650425	1.69912220988e-18	1.69912220988e-18	4.94448040866e-17
3301.35453848	2.14025316357e-18	2.14025316357e-18	4.92371057406e-17
3301.55257271	2.14020190078e-18	2.14020190078e-18	4.84522204267e-17
3301.75060694	2.27663564534e-18	2.27663564534e-18	4.67257825778e-17
3301.94864116	2.2765811816e-18	2.2765811816e-18	4.65472464786e-17
3302.14667538	2.27652675196e-18	2.27652675196e-18	4.6709375647e-17
3302.34569979	2.2764720845e-18	2.2764720845e-18	4.70219392416e-17
3302.54373402	5.11916641233e-18	5.11916641233e-18	4.82144972635e-17
3302.74176824	6.15731488909e-18	6.15731488909e-18	4.63642039577e-17
3302.93980246	6.15716803158e-18	6.15716803158e-18	4.53110068876e-17
3303.13783669	6.15702126599e-18	6.15702126599e-18	4.50140550106e-17
3303.33587092	6.15687459226e-18	6.15687459226e-18	4.59766582337e-17
3303.53390515	6.15672801031e-18	6.15672801031e-18	4.46036243152e-17
3303.73193938	5.11843453663e-18	5.11843453663e-18	4.53949362645e-17
3303.92997361	6.15643512156e-18	6.15643512156e-18	4.52900146391e-17
3304.12800783	6.15628881463e-18	6.15628881463e-18	4.44142861377e-17
3304.32604206	6.15614259923e-18	6.15614259923e-18	4.28781928224e-17
3304.52407629	6.74433811035e-18	6.74433811035e-18	4.32827106112e-17
3304.72211052	6.74417812122e-18	6.74417812122e-18	4.3383902471e-17
3304.92014475	6.74401823218e-18	6.74401823218e-18	4.35874309528e-17
3305.11817897	6.74385844316e-18	6.74385844316e-18	4.48243964837e-17
3305.3162132	6.15541289324e-18	6.15541289324e-18	4.41522190428e-17
3305.51424742	6.15526722581e-18	6.15526722581e-18	4.34953715208e-17
3305.71228165	6.15512164947e-18	6.15512164947e-18	4.47474154007e-17
3305.91031588	2.91354648918e-18	2.91354648918e-18	4.47172343405e-17
3306.10835011	2.91347766469e-18	2.91347766469e-18	4.51990255132e-17
