# wavelength F_lambda
4.424403499999999440e+03 4.083908019553579269e-16
4.430241500000000087e+03 3.747253752115404686e-16
4.436079499999999825e+03 3.849382507157112819e-16
4.441917500000000473e+03 3.635528040328511055e-16
4.447755500000000211e+03 3.048684334838847234e-16
4.453593499999999949e+03 3.491535223773326917e-16
4.459431499999999687e+03 3.031171177366215495e-16
4.465269499999999425e+03 3.176859465291264814e-16
4.471107500000000073e+03 3.961753264319216923e-16
4.476945499999999811e+03 2.953330596156480836e-16
4.482783500000000458e+03 3.154047907016148936e-16
4.488621500000000196e+03 4.042892945538899254e-16
4.494459499999999935e+03 4.082270301562802197e-16
4.500297499999999673e+03 3.501209161851402412e-16
4.506135500000000320e+03 4.458545175362702588e-16
4.511973500000000058e+03 3.924426463834874824e-16
4.517811499999999796e+03 4.632079326597787125e-16
4.523649500000000444e+03 3.716460577627379679e-16
4.529487500000000182e+03 4.567428702817709376e-16
4.535325499999999920e+03 3.738790746700194754e-16
4.541163499999999658e+03 3.970405870015881462e-16
4.547001500000000306e+03 3.694800414123566788e-16
4.552839500000000044e+03 3.706757723148209296e-16
4.558677499999999782e+03 3.484429683837440655e-16
4.564515500000000429e+03 3.954812166996538191e-16
4.570353500000000167e+03 3.956274299116612365e-16
4.576191499999999905e+03 3.497372795819511366e-16
4.582029499999999643e+03 3.745912719086552286e-16
4.587867500000000291e+03 3.911139259746274350e-16
4.593705500000000029e+03 4.461316930545064079e-16
4.599543499999999767e+03 4.007577405209158093e-16
4.605381500000000415e+03 4.694342130971373819e-16
4.611219500000000153e+03 3.843049721761427153e-16
4.617057499999999891e+03 3.979523997244028634e-16
4.622895499999999629e+03 3.375405068395096564e-16
4.628733500000000276e+03 3.484084134827468084e-16
4.634571500000000015e+03 4.062760752118871849e-16
4.640409499999999753e+03 4.314859378861801293e-16
4.646247500000000400e+03 4.488294805962196257e-16
4.652085500000000138e+03 3.996441295179588697e-16
4.657923499999999876e+03 4.477734611036565841e-16
4.663761499999999614e+03 4.046536187008740494e-16
4.669599500000000262e+03 3.552053812383448274e-16
4.675437500000000000e+03 3.066005646573342936e-16
4.681275500000000648e+03 3.756062247027309249e-16
4.687113500000000386e+03 4.441148160391220509e-16
4.692951500000000124e+03 4.489913453699832383e-16
4.698789499999999862e+03 3.827898254128297318e-16
4.704627499999999600e+03 3.715555097254702782e-16
4.710465500000000247e+03 4.102112126714162625e-16
4.716303499999999985e+03 4.782920153123655088e-16
4.722141500000000633e+03 3.927563048113659246e-16
4.727979500000000371e+03 4.388571870380757516e-16
4.733817500000000109e+03 4.566409384212947652e-16
4.739655499999999847e+03 4.405212865764775526e-16
4.745493499999999585e+03 4.437553599253428782e-16
4.751331500000000233e+03 4.680659359308300068e-16
4.757169499999999971e+03 4.395106043298985602e-16
4.763007500000000618e+03 4.125330151088788479e-16
4.768845500000000357e+03 3.875114980179966252e-16
4.774683500000000095e+03 3.770842880677910409e-16
4.780521499999999833e+03 3.463403664171322192e-16
4.786359499999999571e+03 4.283100163837121197e-16
4.792197500000000218e+03 3.797237752748054610e-16
4.798035499999999956e+03 3.714167982839870398e-16
4.803873500000000604e+03 3.431269267816614624e-16
4.809711500000000342e+03 3.748731016050212782e-16
4.815549500000000080e+03 3.651283117783166524e-16
4.821387499999999818e+03 3.518482033163990201e-16
4.827225499999999556e+03 3.917034864437561188e-16
4.833063500000000204e+03 2.945687402337150830e-16
4.838901499999999942e+03 4.256721050268957079e-16
4.844739500000000589e+03 3.550273423805172613e-16
4.850577500000000327e+03 4.094739178162541498e-16
4.856415500000000065e+03 4.060786155222849227e-16
4.862253499999999804e+03 4.167908159742885433e-16
4.868091499999999542e+03 4.200879241168649583e-16
4.873929500000000189e+03 3.858807568924606302e-16
4.879767499999999927e+03 3.338071410936172660e-16
4.885605500000000575e+03 nan
4.891443500000000313e+03 nan
4.897281500000000051e+03 nan
4.903119499999999789e+03 nan
4.908957499999999527e+03 nan
4.914795500000000175e+03 nan
4.920633499999999913e+03 nan
4.926471500000000560e+03 nan
4.932309500000000298e+03 nan
4.938147500000000036e+03 nan
4.943985499999999774e+03 nan
4.949823499999999513e+03 nan
4.955661500000000160e+03 nan
4.961499499999999898e+03 nan
4.967337500000000546e+03 nan
4.973175500000000284e+03 nan
4.979013500000000022e+03 nan
4.984851499999999760e+03 nan
4.990689499999999498e+03 nan
4.996527500000000146e+03 nan
5.002365499999999884e+03 nan
5.008203500000000531e+03 nan
5.014041500000000269e+03 nan
5.019879500000000007e+03 nan
5.025717499999999745e+03 nan
5.031555499999999483e+03 nan
5.037393500000000131e+03 nan
5.043231499999999869e+03 nan
5.049069500000000517e+03 nan
5.054907500000000255e+03 nan
5.060745499999999993e+03 nan
5.066583499999999731e+03 nan
5.072421499999999469e+03 nan
